GEO_ID,Geographic Area Name
S2504_C02_033E,Estimate Percent owner-occupied housing units Occupied housing units VEHICLES AVAILABLE 1 vehicle available
S2504_C02_033M,Estimate Percent owner-occupied housing units Occupied housing units VEHICLES AVAILABLE 2 vehicles available
S2504_C02_034E,Estimate Percent owner-occupied housing units Occupied housing units VEHICLES AVAILABLE 3 or more vehicles available
S2504_C02_034M,Estimate Percent owner-occupied housing units Occupied housing units TELEPHONE SERVICE AVAILABLE With telephone service
S2504_C02_035E,Estimate Percent owner-occupied housing units Occupied housing units HOUSE HEATING FUEL Utility gas
S2504_C02_035M,"Estimate Percent owner-occupied housing units Occupied housing units HOUSE HEATING FUEL Bottled, tank, or LP gas"
S2504_C02_036E,Estimate Percent owner-occupied housing units Occupied housing units HOUSE HEATING FUEL Electricity
S2504_C02_036M,"Estimate Percent owner-occupied housing units Occupied housing units HOUSE HEATING FUEL Fuel oil, kerosene, etc."
S2504_C02_037E,Estimate Percent owner-occupied housing units Occupied housing units HOUSE HEATING FUEL Coal or coke
S2504_C02_037M,Estimate Percent owner-occupied housing units Occupied housing units HOUSE HEATING FUEL All other fuels
S2504_C02_038E,Estimate Percent owner-occupied housing units Occupied housing units HOUSE HEATING FUEL No fuel used
S2504_C02_038M,Estimate Renter-occupied housing units Occupied housing units
S2504_C03_001E,"Estimate Renter-occupied housing units Occupied housing units UNITS IN STRUCTURE 1, detached"
S2504_C03_001M,"Estimate Renter-occupied housing units Occupied housing units UNITS IN STRUCTURE 1, attached"
S2504_C03_002E,Estimate Renter-occupied housing units Occupied housing units UNITS IN STRUCTURE 2 apartments
S2504_C03_002M,Estimate Renter-occupied housing units Occupied housing units UNITS IN STRUCTURE 3 or 4 apartments
S2504_C03_003E,Estimate Renter-occupied housing units Occupied housing units UNITS IN STRUCTURE 5 to 9 apartments
S2504_C03_003M,Estimate Renter-occupied housing units Occupied housing units UNITS IN STRUCTURE 10 or more apartments
S2504_C03_004E,Estimate Renter-occupied housing units Occupied housing units UNITS IN STRUCTURE Mobile home or other type of housing
S2504_C03_004M,Estimate Renter-occupied housing units Occupied housing units YEAR STRUCTURE BUILT 2020 or later
S2504_C03_005E,Estimate Renter-occupied housing units Occupied housing units YEAR STRUCTURE BUILT 2010 to 2019
S2504_C03_005M,Estimate Renter-occupied housing units Occupied housing units YEAR STRUCTURE BUILT 2000 to 2009
S2504_C03_006E,Estimate Renter-occupied housing units Occupied housing units YEAR STRUCTURE BUILT 1980 to 1999
S2504_C03_006M,Estimate Renter-occupied housing units Occupied housing units YEAR STRUCTURE BUILT 1960 to 1979
S2504_C03_007E,Estimate Renter-occupied housing units Occupied housing units YEAR STRUCTURE BUILT 1940 to 1959
S2504_C03_007M,Estimate Renter-occupied housing units Occupied housing units YEAR STRUCTURE BUILT 1939 or earlier
S2504_C03_008E,Estimate Renter-occupied housing units Occupied housing units ROOMS 1 room
S2504_C03_008M,Estimate Renter-occupied housing units Occupied housing units ROOMS 2 or 3 rooms
S2504_C03_009E,Estimate Renter-occupied housing units Occupied housing units ROOMS 4 or 5 rooms
S2504_C03_009M,Estimate Renter-occupied housing units Occupied housing units ROOMS 6 or 7 rooms
S2504_C03_010E,Estimate Renter-occupied housing units Occupied housing units ROOMS 8 or more rooms
S2504_C03_010M,Estimate Renter-occupied housing units Occupied housing units BEDROOMS No bedroom
S2504_C03_011E,Estimate Renter-occupied housing units Occupied housing units BEDROOMS 1 bedroom
S2504_C03_011M,Estimate Renter-occupied housing units Occupied housing units BEDROOMS 2 or 3 bedrooms
S2504_C03_012E,Estimate Renter-occupied housing units Occupied housing units BEDROOMS 4 or more bedrooms
S2504_C03_012M,Estimate Renter-occupied housing units Occupied housing units COMPLETE FACILITIES With complete plumbing facilities
S2504_C03_013E,Estimate Renter-occupied housing units Occupied housing units COMPLETE FACILITIES With complete kitchen facilities
S2504_C03_013M,Estimate Renter-occupied housing units Occupied housing units VEHICLES AVAILABLE No vehicle available
S2504_C03_014E,Estimate Renter-occupied housing units Occupied housing units VEHICLES AVAILABLE 1 vehicle available
S2504_C03_014M,Estimate Renter-occupied housing units Occupied housing units VEHICLES AVAILABLE 2 vehicles available
S2504_C03_015E,Estimate Renter-occupied housing units Occupied housing units VEHICLES AVAILABLE 3 or more vehicles available
S2504_C03_015M,Estimate Renter-occupied housing units Occupied housing units TELEPHONE SERVICE AVAILABLE With telephone service
S2504_C03_016E,Estimate Renter-occupied housing units Occupied housing units HOUSE HEATING FUEL Utility gas
S2504_C03_016M,"Estimate Renter-occupied housing units Occupied housing units HOUSE HEATING FUEL Bottled, tank, or LP gas"
S2504_C03_017E,Estimate Renter-occupied housing units Occupied housing units HOUSE HEATING FUEL Electricity
S2504_C03_017M,"Estimate Renter-occupied housing units Occupied housing units HOUSE HEATING FUEL Fuel oil, kerosene, etc."
S2504_C03_018E,Estimate Renter-occupied housing units Occupied housing units HOUSE HEATING FUEL Coal or coke
S2504_C03_018M,Estimate Renter-occupied housing units Occupied housing units HOUSE HEATING FUEL All other fuels
S2504_C03_019E,Estimate Renter-occupied housing units Occupied housing units HOUSE HEATING FUEL No fuel used
S2504_C03_019M,Estimate Percent renter-occupied housing units Occupied housing units
S2504_C03_020E,"Estimate Percent renter-occupied housing units Occupied housing units UNITS IN STRUCTURE 1, detached"
S2504_C03_020M,"Estimate Percent renter-occupied housing units Occupied housing units UNITS IN STRUCTURE 1, attached"
S2504_C03_021E,Estimate Percent renter-occupied housing units Occupied housing units UNITS IN STRUCTURE 2 apartments
S2504_C03_021M,Estimate Percent renter-occupied housing units Occupied housing units UNITS IN STRUCTURE 3 or 4 apartments
S2504_C03_022E,Estimate Percent renter-occupied housing units Occupied housing units UNITS IN STRUCTURE 5 to 9 apartments
S2504_C03_022M,Estimate Percent renter-occupied housing units Occupied housing units UNITS IN STRUCTURE 10 or more apartments
S2504_C03_023E,Estimate Percent renter-occupied housing units Occupied housing units UNITS IN STRUCTURE Mobile home or other type of housing
S2504_C03_023M,Estimate Percent renter-occupied housing units Occupied housing units YEAR STRUCTURE BUILT 2020 or later
S2504_C03_024E,Estimate Percent renter-occupied housing units Occupied housing units YEAR STRUCTURE BUILT 2010 to 2019
S2504_C03_024M,Estimate Percent renter-occupied housing units Occupied housing units YEAR STRUCTURE BUILT 2000 to 2009
S2504_C03_025E,Estimate Percent renter-occupied housing units Occupied housing units YEAR STRUCTURE BUILT 1980 to 1999
S2504_C03_025M,Estimate Percent renter-occupied housing units Occupied housing units YEAR STRUCTURE BUILT 1960 to 1979
S2504_C03_026E,Estimate Percent renter-occupied housing units Occupied housing units YEAR STRUCTURE BUILT 1940 to 1959
S2504_C03_026M,Estimate Percent renter-occupied housing units Occupied housing units YEAR STRUCTURE BUILT 1939 or earlier
S2504_C03_027E,Estimate Percent renter-occupied housing units Occupied housing units ROOMS 1 room
S2504_C03_027M,Estimate Percent renter-occupied housing units Occupied housing units ROOMS 2 or 3 rooms
S2504_C03_028E,Estimate Percent renter-occupied housing units Occupied housing units ROOMS 4 or 5 rooms
S2504_C03_028M,Estimate Percent renter-occupied housing units Occupied housing units ROOMS 6 or 7 rooms
S2504_C03_029E,Estimate Percent renter-occupied housing units Occupied housing units ROOMS 8 or more rooms
S2504_C03_029M,Estimate Percent renter-occupied housing units Occupied housing units BEDROOMS No bedroom
S2504_C03_030E,Estimate Percent renter-occupied housing units Occupied housing units BEDROOMS 1 bedroom
S2504_C03_030M,Estimate Percent renter-occupied housing units Occupied housing units BEDROOMS 2 or 3 bedrooms
S2504_C03_031E,Estimate Percent renter-occupied housing units Occupied housing units BEDROOMS 4 or more bedrooms
S2504_C03_031M,Estimate Percent renter-occupied housing units Occupied housing units COMPLETE FACILITIES With complete plumbing facilities
S2504_C03_032E,Estimate Percent renter-occupied housing units Occupied housing units COMPLETE FACILITIES With complete kitchen facilities
S2504_C03_032M,Estimate Percent renter-occupied housing units Occupied housing units VEHICLES AVAILABLE No vehicle available
S2504_C03_033E,Estimate Percent renter-occupied housing units Occupied housing units VEHICLES AVAILABLE 1 vehicle available
S2504_C03_033M,Estimate Percent renter-occupied housing units Occupied housing units VEHICLES AVAILABLE 2 vehicles available
