county,prop_green,prop_crosswalk,prop_not_single_family_house,prop_single_lane,prop_triple_lane,prop_visible_wires,prop_sidewalk,prop_dilapidated_building
20087,0.894638771,0.000817261,0.207159202,0.824877411,0,0.400196143,0.034651847,0.13873815
20089,0.839822404,0.00307377,0.246243169,0.782786885,0,0.509562842,0.134562842,0.129781421
20091,0.916525899,0.024966174,0.190233431,0.721343323,0,0.394013629,0.471532774,0.199776241
20093,0.555226824,0.004930966,0.519230769,0.65877712,0,0.579881657,0.205128205,0.181459566
20095,0.627639873,0.001121835,0.529434809,0.776078208,0,0.363973076,0.012393604,0.14231276
20097,0.655546289,0.021267723,0.399082569,0.732276897,0,0.702668891,0.143452877,0.176814012
20099,0.887563884,0.014196479,0.232254401,0.738500852,0,0.549063032,0.117887564,0.241396934
20101,0.74537037,0.002777778,0.316666667,0.851851852,0,0.511111111,0.15462963,0.088888889
20103,0.915754801,0.012356707,0.182093941,0.645209915,0,0.499981391,0.179358344,0.165382611
20105,0.747946229,0.010082151,0.364451083,0.791635549,0,0.604555639,0.150485437,0.356235997
20107,0.843764662,0.003941072,0.34568828,0.613587314,0,0.492070939,0.052172281,0.231491039
20109,0.59804742,0.00362622,0.541701534,0.656345886,0,0.553138075,0.077824268,0.111854951
20111,0.877385345,0.014654718,0.213705851,0.702003163,0,0.496626252,0.201581444,0.152609383
20113,0.777382688,0.007930642,0.343634511,0.765936195,0,0.470045346,0.082902175,0.15691484
20115,0.793451577,0.003620965,0.305449859,0.859641586,0,0.458911256,0.042745796,0.133668835
20117,0.726072192,0.007231795,0.444975475,0.646836876,0,0.508615269,0.075713747,0.176015596
20119,0.73891569,0.011486331,0.457270848,0.569607167,0,0.540202159,0.082701585,0.132207673
20121,0.909886416,0.007765415,0.173273064,0.649687065,0,0.560384794,0.091272601,0.179763561
20123,0.713528591,0.008368201,0.367224547,0.724407252,0,0.579358438,0.142119944,0.249930265
20125,0.883561644,0.012385063,0.192156127,0.78537249,0,0.537577407,0.165134172,0.22335335
20127,0.823019248,0.000559534,0.294874664,0.782397046,0,0.430282005,0.04090197,0.058079678
20129,0.725409836,0,0.411885246,0.795765027,0,0.512978142,0.144125683,0.105191257
20131,0.70696675,0.007577471,0.411445374,0.637525447,0,0.478964035,0.094322551,0.258086406
20133,0.86732056,0.00973236,0.215708637,0.744297445,0,0.554896594,0.124239659,0.160279805
20135,0.752590674,0.001727116,0.335924007,0.771157168,0,0.483160622,0.070379965,0.120034542
20137,0.826277372,0.010948905,0.320681265,0.732116788,0,0.552554745,0.192214112,0.133333333
20139,0.878997081,0.002747725,0.212536493,0.826103383,0,0.463884596,0.03760948,0.13645887
20141,0.740838959,0.006268081,0.329315333,0.733124397,0,0.577386692,0.144889103,0.197444552
20143,0.647008547,0.001449275,0.448866592,0.836343367,0,0.49795615,0.025343738,0.166295058
20145,0.854166667,0.024543379,0.264269406,0.777682648,0,0.583047945,0.214326484,0.119292237
20147,0.700870827,0.005224964,0.469085631,0.624092888,0,0.510595065,0.073004354,0.135558781
20149,0.799203057,0.004404157,0.35077131,0.818940206,0,0.376427273,0.045579531,0.156149508
20151,0.807957909,0.019401513,0.324893127,0.674449194,0,0.589773101,0.216540612,0.124958895
20153,0.748778104,0.010752688,0.457966764,0.658357771,0,0.52688172,0.105571848,0.112903226
20155,0.784020252,0.005474036,0.341014817,0.771747712,0,0.406344401,0.054309743,0.120787635
20157,0.802617801,0.005061082,0.295986038,0.780104712,0,0.542582897,0.135078534,0.1495637
20159,0.710859555,0.010616526,0.44819647,0.666282937,0,0.489063699,0.082246099,0.229022768
20161,0.790558137,0.01358321,0.370602053,0.675228515,0,0.466629219,0.168973089,0.197952306
20163,0.638367525,0.003382802,0.458969882,0.630401571,0,0.475774771,0.038520297,0.226320384
20165,0.778400598,0.003736921,0.285127055,0.802316891,0,0.5,0.069880419,0.090433483
20167,0.591697856,0.008166043,0.47680617,0.715889758,0,0.596574799,0.12135647,0.214698877
20169,0.76314368,0.011847317,0.296200936,0.771876125,0,0.540367303,0.154267195,0.140223263
20171,0.521471211,0.014442519,0.577893318,0.609474292,0,0.641825534,0.105334104,0.124975929
20173,0.820167917,0.023572398,0.276129374,0.738630494,0,0.474430233,0.231219566,0.200053722
20175,0.685164213,0.020271801,0.412797282,0.652208381,0,0.597508494,0.304869762,0.169875425
20177,0.880205101,0.010587865,0.226060361,0.774848199,0,0.449323078,0.198272838,0.184113705
20179,0.719889503,0.001104972,0.442541436,0.675690608,0,0.6,0.05801105,0.064088398
20181,0.687336815,0.002828547,0.443211488,0.697998259,0,0.434073107,0.082245431,0.093777198
20183,0.788161994,0.010384216,0.302872966,0.724125995,0,0.635860159,0.164762894,0.149878851
20185,0.884724588,0.009653606,0.210959682,0.782509938,0,0.502555366,0.144804089,0.076660988
20187,0.572048954,0.000394789,0.600473747,0.600868535,0,0.504145282,0.031188314,0.141729175
20189,0.65595416,0.012705531,0.46163428,0.616591928,0,0.65346288,0.128550075,0.119083209
20191,0.755573972,0.004384323,0.337298829,0.825856814,0,0.466609635,0.06678073,0.193391435
20193,0.676883414,0.008736752,0.4588943,0.699226583,0,0.481953595,0.086078488,0.10326554
