Zip_Code,total_num,total_green,total_crosswalk,total_not_single_family_house,total_single_lane,total_triple_lane,total_visible_wires,total_sidewalk,total_dilapidated_building,prop_green,prop_crosswalk,prop_not_single_family_home,prop_single_lane,prop_triple_lane,prop_visible_wire,prop_sidewalk,prop_dilapidated_building
766,12,9,0,11,3,0,7,12,0,0.75,0,0.916666667,0.25,0,0.583333333,1,0
767,264,180,1,151,129,0,164,107,73,0.681818182,0.003787879,0.571969697,0.488636364,0,0.621212121,0.40530303,0.276515152
769,160,61,4,122,63,0,120,117,43,0.38125,0.025,0.7625,0.39375,0,0.75,0.73125,0.26875
771,44,32,0,37,38,0,19,32,4,0.727272727,0,0.840909091,0.863636364,0,0.431818182,0.727272727,0.090909091
772,20,8,0,17,17,0,2,5,8,0.4,0,0.85,0.85,0,0.1,0.25,0.4
773,204,147,7,130,99,0,149,56,65,0.720588235,0.034313725,0.637254902,0.485294118,0,0.730392157,0.274509804,0.318627451
775,32,13,0,29,23,0,8,14,11,0.40625,0,0.90625,0.71875,0,0.25,0.4375,0.34375
777,92,84,2,40,58,0,34,34,21,0.913043478,0.02173913,0.434782609,0.630434783,0,0.369565217,0.369565217,0.22826087
778,68,51,1,28,28,0,25,36,43,0.75,0.014705882,0.411764706,0.411764706,0,0.367647059,0.529411765,0.632352941
780,20,9,0,18,8,0,12,8,12,0.45,0,0.9,0.4,0,0.6,0.4,0.6
782,32,13,1,31,16,0,17,29,8,0.40625,0.03125,0.96875,0.5,0,0.53125,0.90625,0.25
784,2260,1444,28,1249,1386,0,1789,1596,689,0.638938053,0.012389381,0.552654867,0.613274336,0,0.79159292,0.70619469,0.304867257
791,80,73,1,31,39,0,51,8,38,0.9125,0.0125,0.3875,0.4875,0,0.6375,0.1,0.475
794,28,12,0,21,19,0,5,14,12,0.428571429,0,0.75,0.678571429,0,0.178571429,0.5,0.428571429
795,208,175,0,81,119,0,153,111,90,0.841346154,0,0.389423077,0.572115385,0,0.735576923,0.533653846,0.432692308
901,1000,263,31,951,453,0,577,795,297,0.263,0.031,0.951,0.453,0,0.577,0.795,0.297
906,12,2,0,11,6,0,10,8,4,0.166666667,0,0.916666667,0.5,0,0.833333333,0.666666667,0.333333333
907,2908,1749,101,2563,1410,0,2074,2487,832,0.601444292,0.034731774,0.881361761,0.484869326,0,0.713204952,0.85522696,0.28610729
909,1244,484,47,1104,554,0,1002,1089,318,0.389067524,0.03778135,0.887459807,0.445337621,0,0.805466238,0.875401929,0.25562701
911,1472,725,44,1301,753,0,1157,1241,453,0.492527174,0.029891304,0.883831522,0.511548913,0,0.786005435,0.843070652,0.307744565
912,1288,568,22,1142,689,0,1060,1128,392,0.440993789,0.017080745,0.886645963,0.534937888,0,0.822981366,0.875776398,0.304347826
913,392,242,20,309,220,0,295,340,140,0.617346939,0.051020408,0.788265306,0.56122449,0,0.75255102,0.867346939,0.357142857
915,3248,979,50,2875,1705,0,2877,2823,980,0.301416256,0.015394089,0.885160099,0.524938424,0,0.885775862,0.869150246,0.301724138
917,2700,1368,61,2273,1554,0,2166,2278,813,0.506666667,0.022592593,0.841851852,0.575555556,0,0.802222222,0.843703704,0.301111111
918,2844,1483,116,2262,1602,0,2154,2524,832,0.521448664,0.040787623,0.79535865,0.563291139,0,0.757383966,0.887482419,0.29254571
920,5176,2198,154,4035,2875,0,3868,4298,1421,0.424652241,0.029752705,0.779559505,0.555448223,0,0.747295209,0.830370943,0.274536321
921,6340,2972,81,4487,4421,0,4495,5377,1559,0.468769716,0.012776025,0.707728707,0.697318612,0,0.708990536,0.848107256,0.245899054
923,4160,2669,59,2727,3118,0,2973,3457,1114,0.641586538,0.014182692,0.655528846,0.749519231,0,0.714663462,0.831009615,0.267788462
924,7252,4586,87,3975,5535,0,5167,5567,1950,0.632377275,0.011996691,0.548124655,0.763237728,0,0.712493105,0.767650303,0.26889134
925,1480,578,39,1391,703,0,1213,1283,394,0.390540541,0.026351351,0.939864865,0.475,0,0.819594595,0.866891892,0.266216216
926,6652,4887,124,3266,4702,0,4055,4724,1735,0.734666266,0.01864101,0.490980156,0.706855081,0,0.6095911,0.710162357,0.260823812
927,2476,1891,82,1253,1857,0,1507,2058,702,0.763731826,0.033117932,0.506058158,0.75,0,0.608642973,0.831179321,0.283521809
949,1980,1584,44,782,1385,0,1278,1224,637,0.8,0.022222222,0.394949495,0.699494949,0,0.645454545,0.618181818,0.321717172
952,76,39,1,60,36,0,68,37,33,0.513157895,0.013157895,0.789473684,0.473684211,0,0.894736842,0.486842105,0.434210526
953,2372,1611,41,1238,1696,0,1608,1699,715,0.679173693,0.017284992,0.521922428,0.715008432,0,0.677908938,0.716273187,0.30143339
956,5305,2681,57,3104,3815,0,3818,4090,1528,0.50537229,0.010744581,0.585108388,0.719132893,0,0.719698398,0.770970782,0.28803016
957,3296,2097,35,1653,2525,0,2177,2422,927,0.636225728,0.010618932,0.50151699,0.766080097,0,0.660497573,0.734830097,0.28125
959,3913,1841,52,2424,2617,0,2827,3117,1089,0.470483005,0.013289037,0.61947355,0.66879632,0,0.722463583,0.796575518,0.278303092
961,1761,950,64,1364,913,0,1188,1420,567,0.539466212,0.036342987,0.774559909,0.518455423,0,0.674616695,0.806360023,0.32197615
962,3272,1566,21,2165,2184,0,2415,2535,907,0.478606357,0.006418093,0.661674817,0.667481663,0,0.738080685,0.774755501,0.277200489
965,1924,1034,7,1264,1429,0,1563,1480,483,0.537422037,0.003638254,0.656964657,0.742723493,0,0.812370062,0.769230769,0.251039501
966,976,750,37,580,581,0,610,757,322,0.768442623,0.037909836,0.594262295,0.595286885,0,0.625,0.775614754,0.329918033
968,244,215,6,182,171,0,139,211,66,0.881147541,0.024590164,0.745901639,0.700819672,0,0.569672131,0.864754098,0.270491803
969,2740,1943,54,1512,1849,0,1788,2174,721,0.709124088,0.019708029,0.551824818,0.674817518,0,0.652554745,0.793430657,0.263138686
971,220,195,3,98,144,0,141,110,59,0.886363636,0.013636364,0.445454545,0.654545455,0,0.640909091,0.5,0.268181818
976,1524,935,14,995,1096,0,1045,1202,369,0.61351706,0.009186352,0.652887139,0.719160105,0,0.685695538,0.788713911,0.242125984
979,2596,1530,89,1822,1736,0,1881,2054,700,0.589368259,0.034283513,0.701848998,0.668721109,0,0.724576271,0.791217257,0.269645609
982,2940,1475,28,1648,2284,0,2032,2399,724,0.50170068,0.00952381,0.560544218,0.776870748,0,0.691156463,0.815986395,0.246258503
983,6432,3809,109,3966,5129,0,4221,5044,1782,0.592195274,0.016946517,0.616604478,0.797419154,0,0.65625,0.78420398,0.277052239
985,6536,3606,149,4113,4946,0,4255,5311,1639,0.551713586,0.022796818,0.629283966,0.756731946,0,0.651009792,0.812576499,0.250764994
987,244,148,13,191,84,0,199,203,106,0.606557377,0.053278689,0.782786885,0.344262295,0,0.81557377,0.831967213,0.43442623
1001,10892,10407,258,1643,8238,0,5234,3970,3372,0.955471906,0.02368711,0.150844657,0.756334925,0,0.480536173,0.364487697,0.309585017
1002,5336,5256,140,704,3516,0,1861,1177,1291,0.985007496,0.026236882,0.131934033,0.65892054,0,0.348763118,0.220577211,0.241941529
